prompt_id,prompt_text,bytedance/sdxl-lightning-4step:5f24084160c9089501c1b3545d9be3c27883ae2239b6f412990e82d4a6210f8f,stability-ai/stable-diffusion:ac732df83cea7fff18b8472768c88ad041fa750ff7682a21affe81863cbe77e4,stability-ai/stable-diffusion-3,black-forest-labs/flux-pro,black-forest-labs/flux-schnell,black-forest-labs/flux-dev,ai-forever/kandinsky-2.2:ad9d7879fbffa2874e1d909d1d37d9bc682889cc65b31f7bb00d2362619f194a,dall-e-3,midjourney,fal-ai/aura-flow
dcc5e185-ffa3-4356-ab27-44f9186590a5,"A serene lakeside at dusk, where the sky is painted in hues of pink and orange, and mirror-like water reflects a lone swan gliding gracefully, amidst lush green reeds swaying gently in the evening breeze.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b0812393-54e9-4692-9e8d-743e5a05dcc0.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/60cb5c27-c3c1-4d94-8a97-fb84ea31a2ff.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a461167b-fae4-4f8f-9e63-6829657de209.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/c43a3426-7e3b-4980-a2ce-66b6d7416fb1.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/99ac030d-3f6a-4f5b-9e5d-551a69825fc9.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ea7eeaae-d3d4-4dd1-b4b2-8a39377a0962.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/774f086d-b5f0-446e-aa79-28a08403539b.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/db31579e-1520-4abc-ab99-9e2ffbbf0871.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/20eb190b-e66b-4bd1-b56a-8ce0d334aca5.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/bf427f96-f2e6-4412-a8dc-a6004db05131.webp
77a479e3-49af-4214-bf79-87753f4f1af2,"A bustling city street in the rain, where neon lights create a kaleidoscope of colors on the glistening pavement, people huddle under umbrellas, and a street musician plays a soulful tune, capturing urban life's vibrant rhythm.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/53209522-7cef-4284-8c45-5f298210dded.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/7e284f0b-dc18-4199-a1dc-6c4594b8718d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/3fa27f35-b0c0-43a5-b8b1-94926ddae38f.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/8e9034d5-776e-42ff-bcc3-78a67cba22c4.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d978371b-1163-4f70-8504-f7785120ea21.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d6630be8-c072-43ef-a0e1-e653edb99eb9.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9d234240-f2c1-4a31-b250-e46f8a14ba73.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/444fc3e6-9645-4f59-a7bc-999203345662.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d1d34919-a84b-4e75-81d8-fcee78863cd3.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/43ddf59f-0639-41ef-82ab-4ed0ab2a2dbd.webp
bc1a7925-821a-4bb9-a9c6-f392c975caba,"A serene landscape where the sun dips below the horizon, weaving a tapestry of orange, pink, and purple across the sky. Silhouettes of tall pine trees line the foreground, their shadows elongating across the glassy surface of a tranquil lake.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/477a5a2f-961b-4806-897e-2e9d15e48955.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/11d9d400-fa06-41e4-8515-3394ab2d6e5e.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/8f3045ea-ee4a-4ab3-aaee-b9e7ae6de1be.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/0b167398-17f6-43d5-ae60-1c2b3f015fc9.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9699ae1c-85ba-438b-b18d-64f7276da9b5.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/228bd673-b69a-441d-945d-6dc11ff19352.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/382690b1-0864-4a72-9d56-6ff7c1c19f80.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a4637b29-7293-4a87-badc-d3a7d3b77d98.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ac96760d-d1ed-42e4-ae50-df45aafed971.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b05a05c3-d2b0-4190-b307-9ee58911082a.webp
e6756bad-5663-4ffe-bb50-a9d92a00861d,"A bustling futuristic cityscape at night, illuminated by vibrant neon signs reflecting off glass skyscrapers. Flying cars zip through the air, while pedestrians in high-tech gear crowd the streets below, encapsulating the harmony between humanity and advanced technology.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b1b971e2-ac6a-402c-aaa6-766ba05cbf7b.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/441ef7d2-480e-4a89-80be-4320cf25f24a.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/eddc7073-3386-4342-a590-26c61069521e.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/6ab6573c-034a-4f92-ab4d-ca9bf3ac8b80.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/3017eacd-a3ae-4a93-b883-f6a3f7f9eca9.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/4aa6ddea-e595-4b02-890b-741faed04a4b.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d0e48a22-f191-436e-a4c3-570c9577a51c.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ead2ef20-eb9b-4d9d-b464-cd0765d2e4de.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/00ab43b9-7ee8-44cb-acc3-254086451404.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/cb732f7f-612d-44de-a907-b0f955cb633e.webp
df3d8786-a50e-41fe-a207-5772bb5adf81,"A grand ball held in a lavish 18th-century palace. Nobles in elegant, richly embroidered gowns and suits dance gracefully under grand chandeliers. The room is adorned with gold detailing, lush tapestries, and a sense of opulent extravagance.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a5a397d6-a4b1-432a-9a50-00e09594a49d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/5f4d6cbf-ba55-432a-b69a-feabda177126.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/e3a956a3-2557-46e6-af74-70679ed1717c.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b4bd761c-7c6a-4b46-bc97-3af0243f9b44.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ec156d7b-b478-4d3e-abb6-6260ab8dc864.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9cf1606e-42eb-4f37-be45-5221cae8c7ee.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d5de6ea5-3614-4b23-8859-13fa0dbe5e42.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/c9b63987-1908-4ac5-8935-4c041f3fd3d8.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a6e6091b-24b6-44d3-bd93-1a120ba7a29e.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/74a71206-74d4-41fe-99f7-cd85a90c047a.webp
dfc27910-d685-4575-b718-ef2e536c3d7e,"A futuristic metropolis at night, skyscrapers with holographic displays reaching towards the heavens, flying cars stream through the air, and people don advanced tech wear, blending seamlessly with vibrant digital advertisements and city sounds.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/0b998df3-d797-46d4-9999-9dfee3a1693b.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/c473ae41-ca7a-48d4-b708-cf37d5c8f64f.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/026218fc-578a-4e82-b3a7-044975c4a3b1.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/534e170e-5779-4f02-840b-cc71a473ad5d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a4c5ebe6-4ad0-4cf9-877a-bd2f815ce288.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/14edca8f-e10a-46cb-bda0-f15615c1da93.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/57d99d4f-e14e-4eca-a8b0-67e763cf98ac.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/dec79671-1dc1-49c2-a068-ddd23896a4e0.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d608788e-ac63-4946-8686-f921ee5b788e.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/2e756cf1-ef81-4069-96b0-f9db604add3f.webp
aa96df24-be3d-4a8f-a928-d9b03c3c6ceb,"An ancient library lost in time, filled with towering, dust-covered bookshelves, and scrolls that hint at forgotten wisdom. Sunlight streams through stained glass windows, casting colorful patterns across the wooden floors and illuminating floating motes of dust.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ce42ef8d-ffa9-4785-b669-62ac0b0f9dd2.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/905f3c8b-d501-452c-aaab-7c44f718eb7d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b30e2bd3-c0a4-4fd7-a96e-12609021c1e5.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/1159e3b5-0d2c-40f3-81e0-353b44f5126c.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/c63a9350-084e-45c8-ba40-46dc4ba14a8a.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/638fe965-8f62-4547-b653-39ba8432e67f.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/1a716f21-d66e-431a-b70f-4e5554bfbbeb.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/70183e7e-cfed-490d-a259-55aecff78622.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/86937590-61fa-4eae-8061-8f1b5c20a771.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/07f00aae-e38f-426a-9708-6432e87a5e43.webp
e36e1489-4072-4e0c-bbc1-21d26c7187a7,"A peaceful village tucked into a meadow filled with wildflowers. Traditional thatched-roof cottages scatter the landscape, smoke curling from chimneys. Farmers gather their harvest under a clear blue sky, whilst children play joyfully among grazing sheep.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9c800768-83a6-4f77-a597-51e15b2d9c3b.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ee6d3ef3-fd9c-4986-a3e3-f06588ecc39d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/99059bc4-a01a-4a37-99fb-350e235f3a59.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ea37b88a-b9a0-44e4-bac1-728928c2ee70.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/329705b1-f14e-4ca6-9e0e-d048b12ce392.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/466aeb0c-68c0-4259-8935-63ac408751d2.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9a712434-18f2-45e1-9d5f-2be39851e832.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/b6a92370-5b30-4e49-ad1c-b89e0a64533c.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/e6c57864-8b9b-45a2-8816-d7536d3ae91e.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/28951094-e173-46fc-a0fd-b96915195a22.webp
d1217579-78e5-4916-a128-e903f9abd984,"A tranquil Japanese Zen garden at dawn, where carefully raked sand patterns surround ancient stone lanterns, cherry blossoms drift gently in the wind, and a gentle stream reflects the first light of the morning sun.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/58c98630-37b7-4a85-8d05-2cd417b12cf4.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/5a465257-8fa4-4dd9-ba76-b4bb2ab566c8.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/6a45931d-7c84-4276-9231-03a0a1961041.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a7fcf2ce-ce6f-4254-b965-cfb7da817687.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/7699357a-c237-4fd3-87c4-4f599ba43342.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/098a41f5-1a15-4da9-b704-ddeded5c8e59.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/52b0ff6c-557c-4475-936a-cdda62f6cc96.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/a1e59ecb-d53d-4bd1-9eb0-9ea975b76184.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/7dee6890-3b6a-4056-a988-be013a840ae4.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/d851ad86-0d21-4c1d-acf8-4cf8f724a352.webp
f1902e7f-e48a-4546-aea9-bf59add47300,"An ancient library with floor-to-ceiling bookshelves stacked with dusty tomes, where a single ray of light from a stained-glass window illuminates an old wooden reading desk, and the air is filled with the promise of untold stories.",https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ec1344bb-8dc9-425a-9b8d-50838d5d90a4.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/98c6a843-25a2-418c-9be9-24b130f8e949.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/6586321b-29e4-4277-9182-24b7e29e980d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/ac83c805-2d0e-4dbe-b838-aa14f3e6626d.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/7fbb1952-2355-4422-9316-7bee4fba0226.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/3dbbd93c-53f7-4f96-b8b7-5ae52eb73ac4.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/f9441024-ba23-46a3-91e3-e98d22a02eb8.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/3c2c4582-ef37-400a-a831-38bf3e7fc684.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/9ef53972-f02b-4086-9035-861a2e59b368.webp,https://yycelpiurkvyijumsxcw.supabase.co/storage/v1/object/public/images_bucket/8cc1b8b4-7e7f-430d-979c-08ee73782344.webp
